user_id,book_id_list
210,"3015694,2225251,1673950,3988468,2447113,971259,1281035,2274394,840500,2286120,2180196,2300795,2370751,254097,2600001,709075,1037723,1074594"
1380,"482934,2548861,1326209,2379664,2486212,2186305,2356900,2290484,2231328,625734,2209477,8467358,8369,145975,28302,1098150,2351675,998313,2349719,1720918"
2050,"2254200,2053462,317849,18790,822326,2575827,867246,2300795,1918727,2465924,1240867,2424516,460492,1021078,1037723,8369,2347744,308364,2388640,4902"
2740,"181062,162418,1339705,1737221,2107128,1553798,112023,2181231,521395,149611,39221,435659,1012432,1093541,987516,1742695,317050,2479424,5535190,549194"
4621,"3015694,28901,2576738,28638,2225251,2191492,28642,1838666,2533822,307058,475353,1964217,2274394,572338,4472386,4561960,4294558,4121227,3185149,3959194"
4961,"832722,1819867,1360858,3756355,2318816,1785776,2077927,1902534,6892,1035814,420807,2129220,305091,2303346,1118435,2254913,2349719,1385630,1720918,1894419"
7701,"117264,584,199275,27661,625734,1726761,2534924,170357,1118435,34134,5143300,971769,2178756"
9631,"2531639,1338435,4018180,311519,2444431,435745,2526643,310397,444586,2856193,113365,313569,443473,3862957,450195,507057,2563979,2352976,321045"
9661,"3193318,687894,873230,1442680,2486212,1360858,103890,428685,361725,2209477,1350395,8369,1074594,800684,28302,1727705,567105,536767,220899,2071831"
10210,"2300478,2369118,592415,472745,4421068,2592545,4379539,867246,2300795,1918727,2186305,1462299,620361,722880,2534924,1240867,1101948,1118435,305091,181149"
15250,"2523207,2459166,2237589,438093,2411079,2805265,2486212,2592020,531550,2077927,110160,3876841"
17231,"2199462,2286863,2599190,1609097,1785776,1902534,2592020,1462299,2534924,454134,1350395,1769545,389215,8467358,2101235,8369,5679028,316274,2042862,800684"
17901,"2462785,18790,625273,2473996,2523793,1812070,2216349,2575827,867246,2300795,1918727,2465924,3860362,1240867,625734,28302,2214808,1947821,220899,2141878"
20161,"471655,468013,304428,885184,1593466,2486212,2599190,1035814,1785776,306238,8378,625734,166554,305091,473795,2101235,2352976,1727705,1653700,1593487"
20500,"2525028,200343,220837,212216,1957553,2486212,2407015,420807,716862,4377052,2209477,1098150,2351675,181149,2573241,2352976,2448177"
20611,"6841975,2555490,2856193,3459604,2602851,840500,18790,867246,2300795,1918727,3004519,3061525,3795490,4380805,2214808,1350395"
21251,"307742,3229138,3593485,2214680,3767155,119935,2925391,558188,2854789,3232549,3862594,2544517,4407553,4587922,4703839,4783636,625360,444827,3157387,709849"
21911,"312747,1670299,867246,2486212,1918727,3756355,1858824,2141878,1609097,1902534,2465924,454134,389215,1098150,2254913,2352976,971769,2214808,2448177,868187"
21990,"316084,2053462,317618,1357735,541946,18790,1871112,2473996,986361,2523793,1812070,2216349,2575827,867246,2465924,454134,1240867,470309,2214808,1947821"
22130,"2532419,1930356,3182068,113628,1956388,449274,893319,1068877,304428,1796985,1727705,1121649,306238,531550,476483,5194960,567105,25357,488025"
22220,"667007,397490,696501,537051,2353418,29452,439922,465734,2286863,495858,433856,129756,312594,658541,1304561,1003005,491653,716862,1037723,689531"
22431,"114431,1560733,37177,78643,21324,573666,2443673,2407430,2486212,1726761,1121649,1858824,5428,1118435,181149,2303346,1074594,5143300,220899"
22840,"434741,103142,577472,632089,839851,1799031,2486212,2452713,2524376,2599190,103890,716862,625734,610508,485757,709075,2209477,473795,305091,998313"
23081,"2989726,3892507,1729986,1353337,1753357,521832,1229855,196603,2077927,2592020,1902534,306238,4398748,4873813,5075707,5095084,610508,4795015,5066644,2101235"
23491,"433803,438402,1323687,313148,316060,449377,485341,5014288,443473,1900041,1218400,1726761,306238,2247538,305091,1098150,2364305,1074594,220899"
24350,"118528,1271808,2463719,2599190,1726761,196603,2297476,306238,2129220,3992359,420807,716862,709075,1037723,361725,1101948,2254913,5143300,5679028,2349719"
24351,"24551,1809437,438253,326265,1796985,2231328,386870,7804328,409458,7220107,531001,501190,716862,361725,2303346,1101948,1074594,8369,2580687,2042862"
24540,"1245,5227168,461198,9224,455217,535146,221414,2433485,847878,763,5201326,1232,557350,187771,469039,2597805,453646,123845,314330,532580"
24621,"2478329,459282,126927,2186305,1785776,2077927,1121649,485757,2407015,1858824,166554,4709521,4731340,4778671,317,4887496,1836702,2351675,828221,2448177"
24660,"2518136,3534874,2321956,5679028,389215,481572,2454485,2297476,1612347,476483,454134,468389,8467358,2347744,2042862,536767,800684,868187,715,17761"
24770,"3756256,2450614,2131332,1446974,2592020,1798025,2407015,103890,2209477,361725,1037723,2524593,8369,305091,181149,1098150,28302,2573241,2352976,308364"
26980,"633013,123019,31876,30117,822326,11623,33078,1726761,1856383,2303346,181149,1350395,1968152,2297476,6609733,25357,1653700,481572,17761,715"
27041,"4000258,457103,1100906,35842,380194,1316207,2578149,304428,2391766,2486212,2599190,625734,557061,4199446,2423847,4625173,305091,2101235,2532414,1653700"
27141,"1766131,3418957,2388642,962441,962437,2388641,716862,2466103,1836702,145975,2454485,2485599,1214828,1785776,2077927,103890,8467358,2042862,2448177"
27731,"882479,3756355,2019613,1609097,28302,6892,306238,2424516,716862,1726761,317,428685,709075,2209477,473795,272375,828221,2352976,220899"
27741,"1350519,1353337,538999,438783,521832,2614362,1229855,317,681470,2186305,2424516,2077927,722880,1200461,1037723,971769,2347744,868187,586643"
27770,"3248050,2606928,2314540,2525634,2599190,7804328,2297476,6609733,473795,1785776,420807,3908188,531001,1293017,361725,181149,5143300,28302,2580687,321553"
27781,"1005109,1077459,200121,3865477,2591988,3769135,2424291,220837,212216,826458,2321956,4555081,8467358,145975,441122,8369,1101948,2580687"
27840,"2182696,3766759,1292132,283586,2241332,18790,1871112,2473996,2523793,2216349,2575827,867246,2300795,1918727,170357,34134,2465924,1240867,8369,1947821"
28101,"1360858,1796985,2318816,2599190,1902534,1856383,1757592,103890,1035814,428685,272375,1348175,2358415,1046376,2578065,4170322,709075,1876718,2333509,220899"
28301,"430797,435424,1572708,308937,2552064,3693046,317577,2388642,2388641,3534874,4878553,4394638,4779625,4740676,5114104,5158654,4695502,5200684,4554862,4686493"
